word,ruby,meaning,level
憂慮,ゆうりょ,心配して気にかけること,1
端緒,たんしょ,物事の始まりやきっかけ,1
恣意,しい,自分勝手な考えや判断,1
形骸化,けいがいか,中身が失われて形だけ残ること,1
懐疑,かいぎ,疑いを持つこと,1
帰結,きけつ,結果として導かれること,1
前提,ぜんてい,議論の出発点となる条件,1
帰納,きのう,個別の事例から一般原理を導くこと,1
演繹,えんえき,一般原理から結論を導くこと,1
乖離,かいり,互いに離れてしまうこと,1
包摂,ほうせつ,あるものを内に含み込むこと,1
相対化,そうたいか,絶対視されていたものを相対的に見ること,1
内面化,ないめんか,外にある価値や規範を自分の内に取り込むこと,1
正当化,せいとうか,自分の行為を正しいと説明すること,1
規範,きはん,行動の基準となるもの,1
主体,しゅたい,自ら考え行動する存在,1
他者,たしゃ,自分とは異なる存在,1
公共性,こうきょうせい,社会全体に関わる性質,1
自律,じりつ,自分で自分を律すること,1
是正,ぜせい,悪い点を直して正すこと,1
検証,けんしょう,正しいかどうか調べて確かめること,1
逸脱,いつだつ,基準や常識から外れること,1
看過,かんか,見逃してそのままにすること,1
懐柔,かいじゅう,うまくなだめて従わせること,1
斟酌,しんしゃく,事情をくみ取って考慮すること,1
齟齬,そご,食い違い,1
帰趨,きすう,最終的にどうなるかという成り行き,1
僭越,せんえつ,身分や立場を越えて出過ぎたことをすること,1
合理,ごうり,理にかなっていること,1
普遍,ふへん,すべてに広く当てはまること,1
特殊,とくしゅ,限られた場合だけに当てはまること,1
抽象,ちゅうしょう,具体性を離れて本質だけを取り出すこと,1
具体,ぐたい,実際に形や内容がはっきりしていること,1
分析,ぶんせき,要素に分けて調べること,1
統合,とうごう,複数のものを一つにまとめること,1
解釈,かいしゃく,意味を読み取って理解すること,1
認識,にんしき,物事を知り理解すること,1
論理,ろんり,筋道立った考え方,1
構造,こうぞう,要素同士の組み立てや関係,1
体系,たいけい,整ったまとまりを持つ仕組み,1
因果,いんが,原因と結果の関係,1
評価,ひょうか,価値を判断すること,1
判断,はんだん,正しいかどうかを決めること,1
認知,にんち,知覚して理解すること,1
意識,いしき,自分で気づいている状態,1
無意識,むいしき,意識されない心の働き,1
知覚,ちかく,感覚を通して物事をとらえること,1
経験,けいけん,実際に体験すること,1
実践,じっせん,学んだことを実際に行うこと,1
行為,こうい,人が行う行動,1
態度,たいど,物事に対する構え,1
価値,かち,大切さや意味,1
倫理,りんり,人として守るべき道,1
責任,せきにん,自分が引き受ける義務,1
自由,じゆう,束縛されずに選べること,1
平等,びょうどう,差別なく等しいこと,1
権利,けんり,認められた自由や利益,1
義務,ぎむ,果たさなければならないこと,1
文化,ぶんか,人間の生活の中で生み出された営み,1
伝統,でんとう,受け継がれてきた文化や習慣,1
制度,せいど,社会を成り立たせる仕組みや決まり,1
組織,そしき,目的のために集まった人々のまとまり,1
国家,こっか,政治的にまとまった共同体,1
経済,けいざい,財やサービスの生産交換消費の活動,1
市場,しじょう,売買が行われる場,1
資本,しほん,生産活動に用いられる資金や設備,1
労働,ろうどう,働いて価値を生み出すこと,1
生産,せいさん,物やサービスを作り出すこと,1
消費,しょうひ,物やサービスを使うこと,1
流通,りゅうつう,商品が作り手から使い手へ移ること,1
分配,ぶんぱい,利益や資源を配ること,1
競争,きょうそう,互いに優劣を争うこと,1
協力,きょうりょく,力を合わせて行うこと,1
支配,しはい,他を従わせて動かすこと,1
抵抗,ていこう,反対して立ち向かうこと,1
革命,かくめい,社会や政治の急激な変化,1
改革,かいかく,制度や仕組みを改めること,1
維持,いじ,そのまま保ち続けること,1
発展,はってん,より進んだ状態に進むこと,1
進化,しんか,長い時間の中で変化していくこと,1
変容,へんよう,姿や性質が変わること,1
生成,せいせい,新しいものが生まれること,1
形成,けいせい,形作られること,1
展開,てんかい,広がりながら進むこと,1
拡張,かくちょう,広がること,1
縮小,しゅくしょう,小さくなること,1
集中,しゅうちゅう,一か所に集まること,1
分散,ぶんさん,散らばること,1
均衡,きんこう,つり合いが取れていること,1
対立,たいりつ,意見や立場がぶつかること,1
調和,ちょうわ,うまくつり合い合うこと,1
融合,ゆうごう,異なるものが溶け合って一つになること,1
統制,とうせい,一定の方針のもとにコントロールすること,1
管理,かんり,まとめて扱い整えること,1
運営,うんえい,組織や物事を動かすこと,1
計画,けいかく,前もって考えて決めること,1
戦略,せんりゃく,目標達成のための大きな方針,1
戦術,せんじゅつ,具体的なやり方,1
実現,じつげん,現実のものとすること,1
達成,たっせい,目標を成し遂げること,1
失敗,しっぱい,目的が果たせないこと,1
成功,せいこう,目的をうまく果たすこと,1
可能性,かのうせい,実現する見込み,1
必然,ひつぜん,必ずそうなること,1
偶然,ぐうぜん,たまたま起こること,1
妥当,だとう,適切で無理がないこと,1
顕在化,けんざいか,はっきり表に現れること,1
潜在,せんざい,表には現れていないが内にあること,1
顕著,けんちょ,際立って目立つこと,1
漸進,ぜんしん,少しずつ進むこと,1
急進,きゅうしん,急激に進めること,1
包括,ほうかつ,広く全体を含むこと,1
排除,はいじょ,取り除いて外に出すこと,1
依拠,いきょ,よりどころとすること,1
根拠,こんきょ,よりどころとなる理由,1
妥協,だきょう,互いに譲り合って折り合うこと,1
介入,かいにゅう,他の領域に立ち入って関わること,1
媒介,ばいかい,間に入ってつなぐこと,1
脈絡,みゃくらく,前後のつながり,1
文脈,ぶんみゃく,言葉や出来事の前後関係,1
契機,けいき,変化を引き起こすきっかけ,1
顛末,てんまつ,物事の始まりから終わりまでの事情,1
要請,ようせい,強く求めること,1
要因,よういん,ある結果を引き起こす原因,1
要旨,ようし,大事な内容のまとめ,1
概念,がいねん,物事をまとめてとらえる考え,1
観念,かんねん,心の中で思い描く考え,1
理念,りねん,理想として思い描く根本的な考え,1
実態,じったい,実際のありさま,1
実情,じつじょう,実際の事情,1
実証,じっしょう,事実によって確かめること,1
仮説,かせつ,まだ証明されていない説明,1
検討,けんとう,よく調べて考えること,1
考察,こうさつ,よく考えて明らかにすること,1
論証,ろんしょう,筋道を立てて証明すること,1
推論,すいろん,手がかりから考えて結論を出すこと,1
推測,すいそく,はっきりしないことを考えてみること,1
帰着,きちゃく,最終的にある結果に落ち着くこと,1
転換,てんかん,方向や考えが変わること,1
逆説,ぎゃくせつ,一見矛盾するが真理を含む表現,1
矛盾,むじゅん,つじつまが合わないこと,1
整合,せいごう,全体がうまく合っていること,1
